x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-1.260000E+00,+562.500E-03,+7.125000E+00,+750.000E-03,-4.968750E+00
-1.255000E+00,+562.500E-03,+7.281250E+00,+593.750E-03,-4.656250E+00
-1.250000E+00,+718.750E-03,+7.281250E+00,+750.000E-03,-4.656250E+00
-1.245000E+00,+718.750E-03,+7.125000E+00,+750.000E-03,-4.656250E+00
-1.240000E+00,+562.500E-03,+7.125000E+00,+750.000E-03,-4.656250E+00
-1.235000E+00,+562.500E-03,+7.281250E+00,+750.000E-03,-4.656250E+00
-1.230000E+00,+562.500E-03,+7.125000E+00,+750.000E-03,-4.500000E+00
-1.225000E+00,+718.750E-03,+7.125000E+00,+750.000E-03,-4.656250E+00
-1.220000E+00,+562.500E-03,+7.125000E+00,+750.000E-03,-4.500000E+00
-1.215000E+00,+562.500E-03,+7.125000E+00,+750.000E-03,-4.343750E+00
-1.210000E+00,+718.750E-03,+7.125000E+00,+750.000E-03,-4.343750E+00
-1.205000E+00,+718.750E-03,+7.281250E+00,+750.000E-03,-4.500000E+00
-1.200000E+00,+562.500E-03,+7.125000E+00,+750.000E-03,-4.343750E+00
-1.195000E+00,+718.750E-03,+7.125000E+00,+906.250E-03,-4.500000E+00
-1.190000E+00,+718.750E-03,+7.281250E+00,+750.000E-03,-4.187500E+00
-1.185000E+00,+718.750E-03,+7.281250E+00,+750.000E-03,-4.187500E+00
-1.180000E+00,+718.750E-03,+7.281250E+00,+750.000E-03,-4.187500E+00
-1.175000E+00,+718.750E-03,+7.125000E+00,+750.000E-03,-4.187500E+00
-1.170000E+00,+562.500E-03,+7.281250E+00,+906.250E-03,-4.187500E+00
-1.165000E+00,+718.750E-03,+7.125000E+00,+906.250E-03,-4.187500E+00
-1.160000E+00,+718.750E-03,+7.281250E+00,+750.000E-03,-4.187500E+00
-1.155000E+00,+718.750E-03,+7.281250E+00,+906.250E-03,-4.343750E+00
-1.150000E+00,+562.500E-03,+7.125000E+00,+750.000E-03,-4.031250E+00
-1.145000E+00,+718.750E-03,+7.125000E+00,+750.000E-03,-4.031250E+00
-1.140000E+00,+718.750E-03,+7.281250E+00,+750.000E-03,-4.031250E+00
-1.135000E+00,+718.750E-03,+7.281250E+00,+750.000E-03,-4.031250E+00
-1.130000E+00,+718.750E-03,+7.281250E+00,+750.000E-03,-4.031250E+00
-1.125000E+00,+718.750E-03,+7.125000E+00,+750.000E-03,-4.031250E+00
-1.120000E+00,+718.750E-03,+7.125000E+00,+750.000E-03,-3.875000E+00
-1.115000E+00,+718.750E-03,+7.281250E+00,+750.000E-03,-3.875000E+00
-1.110000E+00,+562.500E-03,+7.281250E+00,+906.250E-03,-3.875000E+00
-1.105000E+00,+718.750E-03,+7.281250E+00,+750.000E-03,-3.718750E+00
-1.100000E+00,+718.750E-03,+7.281250E+00,+750.000E-03,-3.875000E+00
-1.095000E+00,+562.500E-03,+7.125000E+00,+593.750E-03,-3.718750E+00
-1.090000E+00,+718.750E-03,+7.125000E+00,+750.000E-03,-3.718750E+00
-1.085000E+00,+562.500E-03,+7.281250E+00,+750.000E-03,-3.718750E+00
-1.080000E+00,+562.500E-03,+7.281250E+00,+750.000E-03,-3.562500E+00
-1.075000E+00,+562.500E-03,+7.281250E+00,+750.000E-03,-3.562500E+00
-1.070000E+00,+875.000E-03,+7.125000E+00,+593.750E-03,-3.562500E+00
-1.065000E+00,+562.500E-03,+7.125000E+00,+750.000E-03,-3.562500E+00
-1.060000E+00,+562.500E-03,+7.125000E+00,+750.000E-03,-3.562500E+00
-1.055000E+00,+718.750E-03,+7.125000E+00,+750.000E-03,-3.406250E+00
-1.050000E+00,+562.500E-03,+7.281250E+00,+1.062500E+00,-3.562500E+00
